municipality,roll_no_txt,civic_address,dwelling_units,classes,event_year,kind,confidence,buildings,buildings_prev,gain,is_primary,legal_description
500 - CITY OF BRANDON,514794.000,2 QUAIL RIDGE DR,132,R2,2027,expanded,low,22361100,2074900,20286200,TRUE,DESC 2--72110
550 - CITY OF PORTAGE LA PRAIRIE,341925.000,1120 DUFFERIN AVE E,118,R1|R2,2027,appeared,high,17782300,0,17782300,TRUE,2--64028
550 - CITY OF PORTAGE LA PRAIRIE,19300.000,1525 SASKATCHEWAN AVE W,54,OTHER|R2,2027,appeared,high,8456500,0,8456500,TRUE,140/145--15
500 - CITY OF BRANDON,235598.000,4110 VICTORIA AVE,24,OTHER|R2,2027,appeared,med,7273600,34400,7239200,TRUE,DESC 1/3-4-269
351 - TOWN OF STE. ANNE,64000.000,290 NORMANDEAU AVE,52,R2,2027,appeared,high,7017300,0,7017300,TRUE,36--72021
463 - CITY OF WINKLER,203356.000,445 NORTHLANDS PKY,120,R2,2027,expanded,low,17586100,10770300,6815800,TRUE,-1-62132
451 - CITY OF STEINBACH,45140.000,60 MCKENZIE,45,R2,2027,appeared,high,6511700,0,6511700,TRUE,3-1-16260
165 - RM OF RITCHOT,294940.000,1039 OLD PTH 59,36,R1|R2,2027,appeared,med,6694000,186200,6507800,TRUE,3--57061
500 - CITY OF BRANDON,946335.000,Unit B - 2211 PORTOLA DR,36,R2,2027,appeared,high,5893400,0,5893400,TRUE,2-71619
451 - CITY OF STEINBACH,1473.000,49 MARKET BLVD,36,R2,2027,appeared,high,5752300,0,5752300,TRUE,2--73852
500 - CITY OF BRANDON,946327.000,Unit A - 2211 PORTOLA DR,36,R2,2027,appeared,high,5746700,0,5746700,TRUE,1-71619
165 - RM OF RITCHOT,203400.000,420 MAIN ST,30,R2,2027,appeared,high,5478900,0,5478900,TRUE,1--70228
500 - CITY OF BRANDON,217349.000,353 16TH ST N,24,INST,2027,appeared,high,4573500,0,4573500,TRUE,1/14-8-228
451 - CITY OF STEINBACH,1475.000,55 MARKET BLVD,24,R2,2027,appeared,high,3583600,0,3583600,TRUE,2--72532
451 - CITY OF STEINBACH,426568.000,73 ESSEX DR,24,R2,2027,appeared,high,3329500,0,3329500,TRUE,DESC B--74043
451 - CITY OF STEINBACH,426556.000,63 ESSEX DR,24,R2,2027,appeared,high,3276800,0,3276800,TRUE,DESC A--74043
451 - CITY OF STEINBACH,101800.000,593 MAIN ST,20,R2,2027,appeared,high,3030500,0,3030500,TRUE,DESC D&E&F--45071
451 - CITY OF STEINBACH,22610.000,85 FIRST ST,18,R2,2027,appeared,high,2515300,0,2515300,TRUE,DESC A--75125
451 - CITY OF STEINBACH,4000.000,135 MAPLEWOOD ST,24,R2,2027,appeared,high,2466800,0,2466800,TRUE,3--68685
447 - CITY OF SELKIRK,48900.000,233 EVELINE ST,10,R1,2027,appeared,high,2457600,0,2457600,TRUE,DESC 3--9327L
451 - CITY OF STEINBACH,46000.020,206 BRANDT ST,15,R1|R2,2027,appeared,high,2325200,0,2325200,TRUE,2-1-12257
451 - CITY OF STEINBACH,46000.000,208 BRANDT ST,15,R1|R2,2027,appeared,high,2307900,0,2307900,TRUE,1-1-12257
152 - RM OF MORRIS,205345.000,20 SPARK ST,18,R1|R2,2027,appeared,high,2119400,0,2119400,TRUE,3-4-71256
205 - MUNICIPALITY OF DELORAINE-WINCHESTER,31200.000,,18,INST|OTHER,2027,expanded,low,2338800,454200,1884600,TRUE,2--43938
351 - TOWN OF STE. ANNE,10407.000,39 FALCON BAY,15,R1|R2,2027,appeared,high,1810200,0,1810200,TRUE,8--72367
451 - CITY OF STEINBACH,19270.000,188 LUND RD,10,R2,2027,appeared,high,1684800,0,1684800,TRUE,8--67258
500 - CITY OF BRANDON,81299.000,759A - 759B 6TH ST,9,R1|R2,2027,expanded,low,1636900,163200,1473700,TRUE,28/30-60-8
500 - CITY OF BRANDON,82651.000,512 7TH ST,8,R1|R2,2027,appeared,high,1391500,0,1391500,TRUE,11/12-74-8
